Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.964002,40.884326,0.000000,top
"C3","20p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.663500,6.484327,0.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.325650,6.114326,90.000000,top
"C5","20p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.663500,-7.215673,0.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",24.389000,-9.995000,-90.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.263501,4.734328,180.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.213500,7.184328,0.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.325650,2.039326,-90.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.163501,-9.065675,-90.000000,top
"C17","10u","CP_Elec_4x5.4",42.414001,17.534327,0.000000,top
"C18","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.514001,21.884327,0.000000,top
"C19","10u","CP_Elec_4x5.4",42.414001,36.584326,0.000000,top
"C20","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.664001,32.884327,-90.000000,top
"C23","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.514001,31.884327,0.000000,top
"D1","1N4148","D_SOD-323_HandSoldering",15.364001,48.384327,180.000000,top
"J1","FDD","Adam_Tech_PCB-C5-26-SA-SMT_1x26_P1.00mm_Horizontal",27.074356,72.684326,180.000000,top
"J2","USB_A_FEMALE","USB_A_FEMALE",90.614000,-31.845000,0.000000,top
"J3","PROG_PORT","PinHeader_2x05_P2.54mm_Vertical",40.550649,4.214327,0.000000,top
"J4","OLED","PinHeader_1x04_P2.54mm_Vertical",19.776500,-13.970000,90.000000,top
"J7","SBAB_LOGO","sbab-tiny-logo",62.164389,-17.970000,0.000000,top
"LD1","LED_GREEN","LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm",68.089000,-29.045000,0.000000,top
