Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10u,C15850
"C10, C11, C18, C23, C6, C7, C8, C9",0805,8,100n,
"C17, C19",CP_Elec_4x5.4,2,10u,
C2,0805,1,100n,C49678
"C3, C5",0805,2,20p,C107145
J1,Adam_Tech_PCB-C5-26-SA-SMT_1x26_P1.00mm_Horizontal,1,FDD,
J2,USB_A_TE_292303-7_Horizontal,1,USB_A_FEMALE,C42637
J3,PinHeader_2x05_P2.54mm_Vertical,1,PROG_PORT,
J4,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
"J5, J6",TestPoint_Pad_4.0x4.0mm,2,OLED Mount,
J7,microSD_XUNPU_TF-114,1,Micro_SD_Card_Det1,C266619
"J99_2, J99",OSHW-Logo2_9.8x8mm_Copper,2,OSHW_LOGO,
LD2,0805,1,LED_GREEN,C2297
Q1,SOT-23,1,2N7002,C8545
R1,0805,1,22,C17561
R13,0805,1,10k,
"R14, R4",0805,2,1k,C17513
"R15, R16, R17, R18, R19, R21, R22, R23, R24, R25, R26, R27, R28",0805,13,1k,
R2,0805,1,22,
R3,0805,1,10k,C17414
SPK1,Buzzer_CUI_CPT-9019S-SMT,1,Speaker,
SW1,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,1,BT_RIGHT,
SW2,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,1,BT_LEFT,
SW3,SW_SPDT_PCM12,1,CHG/RDY,C22435662
TP2,TestPoint_Pad_D1.0mm,1,SWDIO,
TP3,TestPoint_Pad_D1.0mm,1,SWCLK,
U1,TSSOP-14_4.4x5mm_P0.65mm,1,SN74LVC07A,C7659
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F105RBT6,C8349
U3,SOT-223-3_TabPin2,1,LM1117-3.3,C6186
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,8 MHz,C115962
