Designator,Mid X,Mid Y,Rotation,Layer
C1,42.931501,46.683749,0.0,top
C10,32.163501,-9.065675,270.0,top
C11,37.714,-17.1075,90.0,top
C17,42.3815,23.33375,180.0,top
C18,42.4815,27.68375,0.0,top
C19,42.3815,42.383749,180.0,top
C2,32.314,32.83,270.0,top
C23,42.4815,37.68375,0.0,top
C3,12.6635,6.484327,0.0,top
C4,38.5515,-20.07,180.0,top
C5,12.6635,-7.215673,0.0,top
C6,25.3765,-9.07,0.0,top
C7,18.263501,4.734328,180.0,top
C8,22.2135,7.184328,0.0,top
C9,35.32565,2.039326,270.0,top
J1,27.074356,72.684326,180.0,top
J2,90.614,-33.32,0.0,top
J3,41.825649,-0.860673,0.0,top
J4,23.5765,-13.97,90.0,top
J7,44.464,-30.22,0.0,top
LD2,78.214,-37.17,0.0,top
Q1,54.614,-28.0075,270.0,top
R1,91.639,-21.544999,90.0,top
R13,41.875649,-9.065673,180.0,top
R14,40.249356,66.434326,90.0,top
R15,38.053518,66.434327,270.0,top
R16,35.857686,66.434327,90.0,top
R17,33.661853,66.434326,270.0,top
R18,31.46602,66.434326,90.0,top
R19,29.270186,66.434326,270.0,top
R2,89.539,-21.545,90.0,top
R21,78.214,-35.07,180.0,top
R22,27.074353,66.434327,90.0,top
R23,24.878521,66.434326,270.0,top
R24,22.682689,66.434327,90.0,top
R25,20.486855,66.434327,270.0,top
R26,18.291022,66.434327,90.0,top
R27,16.095188,66.434327,270.0,top
R28,13.899356,66.434327,90.0,top
R3,53.814,-23.97,270.0,top
R4,33.314,5.03,90.0,top
SPK1,77.114,-25.57,90.0,top
SW1,68.339,-37.595,180.0,top
SW2,58.139,-37.5825,180.0,top
SW3,50.864,74.0,180.0,top
U1,26.6515,32.98,270.0,top
U2,25.953399,-1.265673,270.0,top
U3,40.381501,32.633749,0.0,top
Y1,12.6635,-0.365673,270.0,top
